org_id	remap_id
家常美食制作	0
喝水	1
家庭烹饪调料补充,提升口感,提升烹饪体验,提升烹饪口感,烹饪调料	2
观赏鱼	3
户外休闲	4
便携音乐体验,追求高品质音乐体验,音乐享受	5
为家中鱼缸升级设备,养鱼	6
升级卫生间设施,升级沐浴体验,家庭洗浴升级,改善家庭用水体验,改善沐浴体验	7
提升空间品质,现代家居风格	8
厨房烹饪,家居烹饪	9
修整眉形,修饰眉毛,妆容持久,打造完美眼妆,打造精致眼妆	10
品味享受,品鉴美酒	11
升级卫生间设施,家庭洗浴升级	12
家庭日常生活用品采购,家庭生活用品补充	13
保护心脏	14
涮火锅炖汤,烹饪食材	15
妆容持久,打造完美眼妆,打造精致眼妆,提升眼妆效果,画眼妆	16
保护心脏,补充辅酶Q10	17
车载充电	18
厨房实用工具,家居烹饪,家庭烹饪便利化,家庭烹饪辅助工具,炖煮美食,烹饪工具	19
滋阴养颜	20
厨房烹饪,家庭烹饪便利化,炖炒一体,炖煮美食	21
嘴馋,寻找童年的味道,解馋下酒,解馋消磨时间,辣味零食,重口味,闲暇零食,香脆口感	22
保持健康,多种维生素	23
便捷充电	24
康复训练,缓解腰部疼痛	25
保护腰椎健康,保护腰部,缓解腰部疼痛	26
塑身修型	27
改善私处健康	28
遮瑕	29
日常使用	30
通勤搭配	31
夏日防晒	32
滋养修护	33
改善受损发质,深层滋养	34
亲友拜访	35
儿童口腔护理,清洁口腔	36
家庭升级,家庭生活品质提升	37
打造梦幻美甲,美甲护理	38
清洁宝宝用品	39
为家中小型犬,为爱宠保暖	40
晾晒整理,衣物收纳	41
提高书写技能,练习书法	42
商务着装,职场着装	43
保护措施	44
品味茶文化	45
夏日户外活动	46
户外跑步,锻炼户外活动	47
为婴儿冲泡奶粉,为宝宝冲奶粉,便捷的喂养工具,宝宝健康成长,方便喂养,消毒奶瓶,消毒用品,清洁宝宝用品	48
改善口腔环境,美白牙齿	49
儿童绘画练习,学习绘画,绘画工具	50
个性化定制,喝茶品味生活	51
养生,滋补身体,滋阴壮阳,补身体	52
更换美瞳	53
充饥零食	54
为婴儿冲泡奶粉,为宝宝冲奶粉,方便喂养	55
为婴儿冲泡奶粉,为宝宝冲奶粉,便捷的喂养工具,宝宝健康,方便喂养,清洁宝宝用品	56
婴幼儿肌肤护理,清洁保湿	57
去除污渍,衣物洗护	58
保持卫生	59
为宝宝保暖	60
去除污渍,清洁,清洁护衣,清洁除菌,衣物洗护	61
猫咪口味喜好,猫咪口粮补充,猫咪营养需求	62
